feature,importance
Rrs_692.0,0.078775436
first_deriv_545.0,0.04456302
lon_norm,0.040055264
first_deriv_530.0,0.03675266
first_deriv_708.0,0.031599093
Rrs_671.0,0.028905958
Rrs_691.0,0.02759101
Rrs_676.0,0.027471367
second_deriv_666.0,0.026773393
first_deriv_507.0,0.025049867
second_deriv_490.0,0.023489337
first_deriv_672.0,0.021745991
first_deriv_698.0,0.021426076
second_deriv_356.0,0.02098298
first_deriv_542.0,0.020081703
first_deriv_553.0,0.01967402
first_deriv_691.0,0.018686883
second_deriv_487.0,0.017906018
second_deriv_542.0,0.01619286
Rrs_702.0,0.016172312
first_deriv_696.0,0.016031917
second_deriv_540.0,0.015457691
first_deriv_657.0,0.014885725
second_deriv_515.0,0.014750279
lat_norm,0.013929321
first_deriv_693.0,0.013845363
second_deriv_462.0,0.01367202
first_deriv_692.0,0.013375186
first_deriv_668.0,0.01317402
first_deriv_547.0,0.013021557
second_deriv_660.0,0.012997362
second_deriv_671.0,0.012332902
Rrs_717.0,0.012278016
second_deriv_361.0,0.01218736
second_deriv_403.0,0.012010878
first_deriv_532.0,0.0115764635
first_deriv_682.0,0.01094551
second_deriv_665.0,0.010834073
first_deriv_565.0,0.010096785
first_deriv_701.0,0.009732089
second_deriv_676.0,0.009487625
first_deriv_563.0,0.009274531
first_deriv_558.0,0.009205372
first_deriv_510.0,0.0089418255
first_deriv_568.0,0.008707658
first_deriv_676.0,0.008295881
first_deriv_673.0,0.008230776
second_deriv_653.0,0.00821762
Rrs_704.0,0.0081333555
first_deriv_550.0,0.0077406173
second_deriv_505.0,0.007548911
first_deriv_704.0,0.007506043
first_deriv_706.0,0.0074954773
first_deriv_694.0,0.0073993616
first_deriv_681.0,0.0069921585
first_deriv_699.0,0.006969912
first_deriv_683.0,0.0066490415
dist_from_center,0.006614178
first_deriv_535.0,0.005618193
first_deriv_655.0,0.00528711
first_deriv_555.0,0.0045085642
Rrs_686.0,0.00433469
second_deriv_565.0,0.0041179885
first_deriv_707.0,0.0039494443
first_deriv_670.0,0.0037790276
second_deriv_502.0,0.0023394078
Rrs_719.0,0.0014381919
first_deriv_560.0,0.00018719479
first_deriv_703.0,0.0
first_deriv_702.0,0.0
Rrs_681.0,0.0
Rrs_683.0,0.0
Rrs_682.0,0.0
Rrs_684.0,0.0
Rrs_703.0,0.0
Rrs_696.0,0.0
Rrs_679.0,0.0
Rrs_701.0,0.0
first_deriv_697.0,0.0
Rrs_689.0,0.0
Rrs_693.0,0.0
Rrs_688.0,0.0
Rrs_694.0,0.0
first_deriv_540.0,0.0
FLH,0.0
Rrs_678.0,0.0
Rrs_687.0,0.0
Rrs_673.0,0.0
Rrs_697.0,0.0
Rrs_677.0,0.0
Rrs_698.0,0.0
first_deriv_512.0,0.0
Rrs_699.0,0.0
first_deriv_675.0,0.0
Rrs_675.0,0.0
blue_green_ratio,0.0
first_deriv_713.0,0.0
ratio_490_555,0.0
auc_nir,0.0
Rrs_706.0,0.0
